descrição,Série,período,valor,ano
INFANTIL 1 - ARTE,INFANTIL 1,anual,"167,41",2025
INFANTIL 1 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 1,INFANTIL 1,1,"705,210",2025
INFANTIL 1 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 2,INFANTIL 1,3,"705,210",2025
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 1,INFANTIL 1,1,"82,03",2025
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 2,INFANTIL 1,3,"82,03",2025
INFANTIL 2 - ARTE,INFANTIL 2,anual,"167,41",2025
INFANTIL 2 - INGLÊS,INFANTIL 2,anual,"155,42",2025
INFANTIL 2 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 1,INFANTIL 2,1,"569,175",2025
INFANTIL 2 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 2,INFANTIL 2,2,"569,175",2025
INFANTIL 2 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 3,INFANTIL 2,3,"569,175",2025
INFANTIL 2 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 4,INFANTIL 2,4,"569,175",2025
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 1,INFANTIL 2,1,"82,03",2025
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 2,INFANTIL 2,3,"82,03",2025
INFANTIL 3 - INGLÊS,INFANTIL 3,anual,"155,42",2025
INFANTIL 3 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 1,INFANTIL 3,1,"511,028",2025
INFANTIL 3 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 2,INFANTIL 3,2,"511,028",2025
INFANTIL 3 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 3,INFANTIL 3,3,"511,028",2025
INFANTIL 3 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 4,INFANTIL 3,4,"511,028",2025
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 1,INFANTIL 3,1,"82,03",2025
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 2,INFANTIL 3,3,"82,03",2025
KIT FABER CASTELL,INFANTIL 3,anual,"400,00",2025
INFANTIL 4 - INGLÊS,INFANTIL 4,anual,"155,42",2025
INFANTIL 4 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 1,INFANTIL 4,1,"648,765",2025
INFANTIL 4 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 2,INFANTIL 4,2,"648,765",2025
INFANTIL 4 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 3,INFANTIL 4,3,"648,765",2025
INFANTIL 4 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 4,INFANTIL 4,4,"648,765",2025
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 1,INFANTIL 4,1,"82,03",2025
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 2,INFANTIL 4,3,"82,03",2025
CO-INF. E FUND. CADERNO DE DESENHO,INFANTIL 4,1,"43,86",2025
KIT FABER CASTELL,INFANTIL 4,anual,"400,00",2025
CO-INF. E FUND. CADERNO DE DESENHO,1º ANO,anual,"43,87",2025
CO-FUND.1 ANO - CADERNO PAUTADO - LINHAS LARGAS,1º ANO,anual,"35,5",2025
1 ANO - INGLÊS,1º ANO,anual,"155,42",2025
1 ANO - LÍNGUA PORTUGUESA - MATEMÁTICA -  CIÊNCIAS - HISTÓRIA - GEOGRAFIA,1º ANO,1,"666,09",2025
1 ANO - LÍNGUA PORTUGUESA - MATEMÁTICA -  CIÊNCIAS - HISTÓRIA - GEOGRAFIA,1º ANO,2,"666,09",2025
1 ANO - LÍNGUA PORTUGUESA - MATEMÁTICA -  CIÊNCIAS - HISTÓRIA - GEOGRAFIA,1º ANO,3,"666,09",2025
1 ANO - LÍNGUA PORTUGUESA - MATEMÁTICA -  CIÊNCIAS - HISTÓRIA - GEOGRAFIA,1º ANO,4,"666,09",2025
1 ANO - DIÁRIO DO ALUNO 1,1º ANO,1,"82,03",2025
1 ANO - DIÁRIO DO ALUNO 2,1º ANO,3,"82,03",2025
KIT FABER CASTELL,1º ANO,anual,400,2025
JOVENS FOR SCHOOL - 1,1º ANO,1,200,2025
JOVENS FOR SCHOOL - 2,1º ANO,3,200,2025
2 AO 5 ANO - DIÁRIO DO ALUNO 1,2º ANO,1,"82,03",2025
2 AO 5 ANO - DIÁRIO DO ALUNO 2,2º ANO,3,"82,03",2025
2 ANO - INGLÊS 1,2º ANO,1,"81,42",2025
CO-FUND.2 ANO - BROCHURA COM PAUTAS LARGAS,2º ANO,1,"43,87",2025
2 ANO - MATEMÁTICA E CIÊNCIAS 1,2º ANO,1,"316,2",2025
"2 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 1",2º ANO,1,"316,2",2025
2 ANO - INGLÊS 2,2º ANO,2,"81,42",2025
2 ANO - MATEMÁTICA E CIÊNCIAS 2,2º ANO,2,"316,2",2025
"2 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 2",2º ANO,2,"316,2",2025
2 ANO - INGLÊS 3,2º ANO,3,"81,42",2025
2 ANO - MATEMÁTICA E CIÊNCIAS 3,2º ANO,3,"316,2",2025
"2 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 3",2º ANO,3,"316,2",2025
2 ANO - INGLÊS 4,2º ANO,4,"81,42",2025
2 ANO - MATEMÁTICA E CIÊNCIAS 4,2º ANO,4,"316,2",2025
"2 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 4",2º ANO,4,"316,2",2025
KIT FABER CASTELL,2º ANO,anual,400,2025
JOVENS FOR SCHOOL - 1,2º ANO,1,200,2025
JOVENS FOR SCHOOL - 2,2º ANO,3,200,2025
2 AO 5 ANO - DIÁRIO DO ALUNO 1,3º ANO,1,"82,03",2025
2 AO 5 ANO - DIÁRIO DO ALUNO 2,3º ANO,3,"82,03",2025
CO-FUND.3 AO 5 ANO - CADERNO PAUTADO,3º ANO,1,"43,87",2025
3 ANO - INGLÊS 1,3º ANO,1,"81,42",2025
3 ANO - MATEMÁTICA E CIÊNCIAS 1,3º ANO,1,"316,2",2025
"3 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 1",3º ANO,1,"316,2",2025
3 ANO - INGLÊS 2,3º ANO,2,"81,42",2025
3 ANO - MATEMÁTICA E CIÊNCIAS 2,3º ANO,2,"316,2",2025
"3 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 2",3º ANO,2,"316,2",2025
3 ANO - INGLÊS 3,3º ANO,3,"81,42",2025
3 ANO - MATEMÁTICA E CIÊNCIAS 3,3º ANO,3,"316,2",2025
"3 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 3",3º ANO,3,"316,2",2025
3 ANO - INGLÊS 4,3º ANO,4,"81,42",2025
3 ANO - MATEMÁTICA E CIÊNCIAS 4,3º ANO,4,"316,2",2025
"3 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 4",3º ANO,4,"316,2",2025
KIT FABER CASTELL,3º ANO,anual,400,2025
JOVENS FOR SCHOOL - 1,3º ANO,1,200,2025
JOVENS FOR SCHOOL - 2,3º ANO,3,200,2025
2 AO 5 ANO - DIÁRIO DO ALUNO 1,4º ANO,1,"82,03",2025
2 AO 5 ANO - DIÁRIO DO ALUNO 2,4º ANO,3,"82,03",2025
CO-FUND.3 AO 5 ANO - CADERNO PAUTADO,4º ANO,1,"43,87",2025
4 ANO - INGLÊS 1,4º ANO,1,"81,42",2025
4 ANO - MATEMÁTICA E CIÊNCIAS 1,4º ANO,1,"316,2",2025
"4 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 1",4º ANO,1,"316,2",2025
4 ANO - INGLÊS 2,4º ANO,2,"81,42",2025
4 ANO - MATEMÁTICA E CIÊNCIAS 2,4º ANO,2,"316,2",2025
"4 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 2",4º ANO,2,"316,2",2025
4 ANO - INGLÊS 3,4º ANO,3,"81,42",2025
4 ANO - MATEMÁTICA E CIÊNCIAS 3,4º ANO,3,"316,2",2025
"4 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 3",4º ANO,3,"316,2",2025
4 ANO - INGLÊS 4,4º ANO,4,"81,42",2025
4 ANO - MATEMÁTICA E CIÊNCIAS 4,4º ANO,4,"316,2",2025
"4 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 4",4º ANO,4,"316,2",2025
KIT FABER CASTELL,4º ANO,anual,400,2025
JOVENS FOR SCHOOL - 1,4º ANO,1,200,2025
JOVENS FOR SCHOOL - 2,4º ANO,3,200,2025
2 AO 5 ANO - DIÁRIO DO ALUNO 1,5º ANO,1,"82,03",2025
2 AO 5 ANO - DIÁRIO DO ALUNO 2,5º ANO,3,"82,03",2025
CO-FUND.3 AO 5 ANO - CADERNO PAUTADO,5º ANO,1,"43,86",2025
5 ANO - INGLÊS 1,5º ANO,1,"81,42",2025
5 ANO - MATEMÁTICA E CIÊNCIAS 1,5º ANO,1,"304,65",2025
"5 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 1",5º ANO,1,"304,65",2025
5 ANO - CONHECENDO O BRASIL E O MUNDO POR MAPAS,5º ANO,anual,"92,41",2025
5 ANO - INGLÊS 2,5º ANO,2,"81,42",2025
5 ANO - MATEMÁTICA E CIÊNCIAS 2,5º ANO,2,"304,65",2025
"5 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 2",5º ANO,2,"304,65",2025
5 ANO - INGLÊS 3,5º ANO,3,"81,42",2025
5 ANO - MATEMÁTICA E CIÊNCIAS 3,5º ANO,3,"304,65",2025
"5 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 3",5º ANO,3,"304,65",2025
5 ANO - INGLÊS 4,5º ANO,4,"81,42",2025
5 ANO - MATEMÁTICA E CIÊNCIAS 4,5º ANO,4,"304,65",2025
"5 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 4",5º ANO,4,"304,65",2025
KIT FABER CASTELL,5º ANO,anual,400,2025
JOVENS FOR SCHOOL - 1,5º ANO,1,200,2025
JOVENS FOR SCHOOL - 2,5º ANO,3,200,2025
6 ANO - ARTES VISUAIS 1,6º ANO,2,"117,88",2025
6 ANO - ARTES VISUAIS 2,6º ANO,3,"117,87",2025
6 ANO - PORTUGUÊS E MATEMÁTICA 1,6º ANO,1,"379,55",2025
"6 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 1",6º ANO,1,"379,55",2025
6 ANO - PORTUGUÊS E MATEMÁTICA 2,6º ANO,2,"379,55",2025
"6 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 2",6º ANO,2,"379,55",2025
